BRAND,MODEL,YEAR,KILO,LOCATION,Certificate,Warranty,PRICE
TOYOTA,VIOS,2010年,14.5萬公里,苗栗縣/建億汽車,1,1,23.8萬
TOYOTA,VIOS,2010年,12.6萬公里,新北市/大鴻汽車,1,1,21.8萬
SUZUKI,SOLIO,2008年,12.3萬公里,高雄市/上暘汽車,1,1,19.8萬
FORD,FOCUS 四門,2007年,9.2萬公里,彰化縣/高通汽車,1,1,19.8萬
MITSUBISHI,ZINGER,2008年,16.1萬公里,高雄市/巨將汽車,1,1,18.8萬
HYUNDAI,GETZ,2009年,10.6萬公里,高雄市/巨將汽車,1,1,18.8萬
NISSAN,TEANA,2009年,10.2萬公里,彰化縣/鹿豐汽車,1,1,22.8萬
MITSUBISHI,COLT PLUS,2009年,5.7萬公里,基隆市/捷立汽車,1,1,23.8萬
TOYOTA,VIOS,2010年,8.4萬公里,新北市/誠德汽車,1,1,23.8萬
MITSUBISHI,VERYCA,2009年,13.1萬公里,桃園市/永興汽車,1,1,24.8萬
MITSUBISHI,COLT PLUS,2008年,15.3萬公里,台南市/文鑫汽車,1,1,22.8萬
TOYOTA,VIOS,2008年,10.5萬公里,桃園市/正達汽車,1,1,23.0萬
MITSUBISHI,MAGIC,2007年,16.1萬公里,新竹縣/光華汽車,1,1,23.8萬
TOYOTA,VIOS,2007年,6.3萬公里,彰化縣/僑輪汽車,1,1,22.0萬
TOYOTA,YARIS,2008年,15.3萬公里,台中市/S嚴選汽車,1,1,22.8萬
FORD,FOCUS,2007年,14.2萬公里,桃園市/龍億汽車,1,1,21.8萬
TOYOTA,VIOS,2013年,17.9萬公里,台中市/聖傑汽車(烏日店),1,1,24.8萬
TOYOTA,YARIS,2006年,8.0萬公里,桃園市/惠民汽車,1,1,22.8萬
NISSAN,MARCH,2007年,11.8萬公里,高雄市/巨將汽車,1,1,16.8萬
FORD,TIERRA,2007年,9.6萬公里,台中市/金沙汽車,1,1,16.8萬
MITSUBISHI,VERYCA,2010年,4.9萬公里,台中市/來爾富汽車,1,1,22.0萬
NISSAN,BLUEBIRD,2007年,20.3萬公里,彰化縣/格上汽車,1,1,18.8萬
SUZUKI,SWIFT,2007年,9.8萬公里,彰化縣/新永隆汽車,1,1,24.8萬
TOYOTA,ALTIS,2007年,16.7萬公里,嘉義市/正泰汽車,1,1,24.5萬
FORD,FOCUS 四門,2008年,16.2萬公里,高雄市/崧誠汽車,1,1,19.8萬
MITSUBISHI,VERYCA,2009年,14.5萬公里,南投縣/東樺汽車,1,1,23.9萬
TOYOTA,VIOS,2008年,19.4萬公里,台中市/曼力汽車,1,1,23.8萬
